ticker,opening_price,source,captured_at_utc,notes
BWXT,204.1200,alpaca,2026-05-18T13:52:32+00:00,
LEU,177.5700,alpaca,2026-05-18T13:52:32+00:00,
NXE,11.2750,alpaca,2026-05-18T13:52:32+00:00,
UEC,13.8000,alpaca,2026-05-18T13:52:32+00:00,
DNN,3.2800,alpaca,2026-05-18T13:52:32+00:00,
OKLO,62.4500,alpaca,2026-05-18T13:52:32+00:00,
SMR,11.1100,alpaca,2026-05-18T13:52:32+00:00,
UUUU,18.3850,alpaca,2026-05-18T13:52:32+00:00,
ETN,397.4650,alpaca,2026-05-18T13:52:32+00:00,
MOD,270.3700,alpaca,2026-05-18T13:52:32+00:00,
NVT,167.2800,alpaca,2026-05-18T13:52:32+00:00,
TT,467.3250,alpaca,2026-05-18T13:52:32+00:00,
CAT,891.9350,alpaca,2026-05-18T13:52:32+00:00,
DOV,209.9700,alpaca,2026-05-18T13:52:32+00:00,
HUBB,475.0450,alpaca,2026-05-18T13:52:32+00:00,
ATKR,74.1750,alpaca,2026-05-18T13:52:32+00:00,
AZZ,141.2700,alpaca,2026-05-18T13:52:32+00:00,
CARR,64.6700,alpaca,2026-05-18T13:52:32+00:00,
CMI,693.2000,alpaca,2026-05-18T13:52:32+00:00,
EMR,132.2600,alpaca,2026-05-18T13:52:32+00:00,
GNRC,265.7300,alpaca,2026-05-18T13:52:32+00:00,
JCI,142.6450,alpaca,2026-05-18T13:52:32+00:00,
PH,862.4350,alpaca,2026-05-18T13:52:32+00:00,
WIRE,,DELISTED,2026-05-18T13:52:32+00:00,delisted 2024-07-02 — acquired by Prysmian at $290/share
XYL,108.1950,alpaca,2026-05-18T13:52:32+00:00,
AYI,282.2600,alpaca,2026-05-18T13:52:32+00:00,
FLS,65.5400,alpaca,2026-05-18T13:52:32+00:00,
LII,498.8150,alpaca,2026-05-18T13:52:32+00:00,
ROP,322.4000,alpaca,2026-05-18T13:52:32+00:00,
WTS,299.0150,alpaca,2026-05-18T13:52:32+00:00,
FCX,62.7450,alpaca,2026-05-18T13:52:32+00:00,
SCCO,178.0100,alpaca,2026-05-18T13:52:32+00:00,
TECK,61.9050,alpaca,2026-05-18T13:52:32+00:00,
AA,62.9800,alpaca,2026-05-18T13:52:32+00:00,
BHP,85.0600,alpaca,2026-05-18T13:52:32+00:00,
CRH,103.8000,alpaca,2026-05-18T13:52:32+00:00,
LIN,505.5450,alpaca,2026-05-18T13:52:32+00:00,
MLM,558.3600,alpaca,2026-05-18T13:52:32+00:00,
NUE,225.3000,alpaca,2026-05-18T13:52:32+00:00,
RIO,104.3000,alpaca,2026-05-18T13:52:32+00:00,
STLD,228.9950,alpaca,2026-05-18T13:52:32+00:00,
VMC,268.6100,alpaca,2026-05-18T13:52:32+00:00,
APD,295.7850,alpaca,2026-05-18T13:52:32+00:00,
CENX,57.5350,alpaca,2026-05-18T13:52:32+00:00,
CLF,10.3000,alpaca,2026-05-18T13:52:32+00:00,
CMC,71.2900,alpaca,2026-05-18T13:52:32+00:00,
EXP,196.8500,alpaca,2026-05-18T13:52:32+00:00,
MP,60.8700,alpaca,2026-05-18T13:52:32+00:00,
ALB,180.5000,alpaca,2026-05-18T13:52:32+00:00,
SBSW,12.2500,alpaca,2026-05-18T13:52:32+00:00,
SQM,84.4550,alpaca,2026-05-18T13:52:32+00:00,
WPM,131.6550,alpaca,2026-05-18T13:52:32+00:00,
AMZN,263.1650,alpaca,2026-05-18T13:52:32+00:00,
GOOG,392.1250,alpaca,2026-05-18T13:52:32+00:00,
GOOGL,395.6850,alpaca,2026-05-18T13:52:32+00:00,
META,609.1050,alpaca,2026-05-18T13:52:32+00:00,
MSFT,416.4000,alpaca,2026-05-18T13:52:32+00:00,
ORCL,189.6700,alpaca,2026-05-18T13:52:32+00:00,
NOW,98.8600,alpaca,2026-05-18T13:52:32+00:00,
CRWD,589.5000,alpaca,2026-05-18T13:52:32+00:00,
DDOG,205.2600,alpaca,2026-05-18T13:52:32+00:00,
NET,194.3000,alpaca,2026-05-18T13:52:32+00:00,
PANW,238.3150,alpaca,2026-05-18T13:52:32+00:00,
PLTR,132.4200,alpaca,2026-05-18T13:52:32+00:00,
SNOW,155.9700,alpaca,2026-05-18T13:52:32+00:00,
ADBE,246.4550,alpaca,2026-05-18T13:52:32+00:00,
CFLT,,DELISTED,2026-05-18T13:52:32+00:00,delisted 2026-03-17 — acquired by IBM at $31/share
CRM,172.4400,alpaca,2026-05-18T13:52:32+00:00,
DT,38.2200,alpaca,2026-05-18T13:52:32+00:00,
ESTC,50.7300,alpaca,2026-05-18T13:52:32+00:00,
FTNT,121.2450,alpaca,2026-05-18T13:52:32+00:00,
MDB,311.5000,alpaca,2026-05-18T13:52:32+00:00,
ZS,163.0000,alpaca,2026-05-18T13:52:32+00:00,
SAP,167.6500,alpaca,2026-05-18T13:52:32+00:00,
SHOP,99.1500,alpaca,2026-05-18T13:52:32+00:00,
CRWV,106.8150,alpaca,2026-05-18T13:52:32+00:00,
NBIS,216.6100,alpaca,2026-05-18T13:52:32+00:00,
BE,274.4300,alpaca,2026-05-18T13:52:32+00:00,
CORZ,24.1650,alpaca,2026-05-18T13:52:32+00:00,
KVYO,14.3350,alpaca,2026-05-18T13:52:32+00:00,
RDDT,157.9400,alpaca,2026-05-18T13:52:32+00:00,
APLD,42.9900,alpaca,2026-05-18T13:52:32+00:00,
FLNC,20.8600,alpaca,2026-05-18T13:52:32+00:00,
GLXY,28.6100,alpaca,2026-05-18T13:52:32+00:00,
INOD,93.3350,alpaca,2026-05-18T13:52:32+00:00,
IREN,53.0850,alpaca,2026-05-18T13:52:32+00:00,
ORA,131.2400,alpaca,2026-05-18T13:52:32+00:00,
SYM,47.5800,alpaca,2026-05-18T13:52:32+00:00,
TEM,44.0100,alpaca,2026-05-18T13:52:32+00:00,
WULF,21.4400,alpaca,2026-05-18T13:52:32+00:00,
BKSY,42.0600,alpaca,2026-05-18T13:52:32+00:00,
BTDR,13.5300,alpaca,2026-05-18T13:52:32+00:00,
CIFR,19.9200,alpaca,2026-05-18T13:52:32+00:00,
HIVE,3.6000,alpaca,2026-05-18T13:52:32+00:00,
HUT,100.9300,alpaca,2026-05-18T13:52:32+00:00,
PL,43.2800,alpaca,2026-05-18T13:52:32+00:00,
RKLB,132.6500,alpaca,2026-05-18T13:52:32+00:00,
AI,8.5750,alpaca,2026-05-18T13:52:32+00:00,
ASTS,87.8200,alpaca,2026-05-18T13:52:32+00:00,
BBAI,4.0400,alpaca,2026-05-18T13:52:32+00:00,
FCEL,20.7200,alpaca,2026-05-18T13:52:32+00:00,
IRDM,42.7300,alpaca,2026-05-18T13:52:32+00:00,
LUNR,36.4500,alpaca,2026-05-18T13:52:32+00:00,
PLUG,3.8000,alpaca,2026-05-18T13:52:32+00:00,
RDW,15.3850,alpaca,2026-05-18T13:52:32+00:00,
SOUN,8.2750,alpaca,2026-05-18T13:52:32+00:00,
STEM,8.4850,alpaca,2026-05-18T13:52:32+00:00,
